,rate,affair,offerdate,currency
2018-03-15,631.41,钢铁、铝加税,2018-03-08,美元
2018-03-14,632.05,钢铁、铝加税,2018-03-08,美元
2018-03-13,632.18,钢铁、铝加税,2018-03-08,美元
2018-03-12,633.33,钢铁、铝加税,2018-03-08,美元
2018-03-09,634.51,钢铁、铝加税,2018-03-08,美元
2018-03-08,632.39,钢铁、铝加税,2018-03-08,美元
2018-03-07,632.94,钢铁、铝加税,2018-03-08,美元
2018-03-06,633.86,钢铁、铝加税,2018-03-08,美元
2018-03-05,634.31,钢铁、铝加税,2018-03-08,美元
2018-03-02,633.34,钢铁、铝加税,2018-03-08,美元
2018-03-15,631.41,钢铁、铝加税,2018-03-08,美元
2018-03-14,632.05,钢铁、铝加税,2018-03-08,美元
2018-03-13,632.18,钢铁、铝加税,2018-03-08,美元
2018-03-12,633.33,钢铁、铝加税,2018-03-08,美元
2018-03-09,634.51,钢铁、铝加税,2018-03-08,美元
2018-03-08,632.39,钢铁、铝加税,2018-03-08,美元
2018-03-07,632.94,钢铁、铝加税,2018-03-08,美元
2018-03-06,633.86,钢铁、铝加税,2018-03-08,美元
2018-03-05,634.31,钢铁、铝加税,2018-03-08,美元
2018-03-02,633.34,钢铁、铝加税,2018-03-08,美元
2018-03-30,628.81,征税征求意见,2018-03-23,美元
2018-03-29,630.46,征税征求意见,2018-03-23,美元
2018-03-28,627.85,征税征求意见,2018-03-23,美元
2018-03-27,628.16,征税征求意见,2018-03-23,美元
2018-03-26,631.93,征税征求意见,2018-03-23,美元
2018-03-23,632.72,征税征求意见,2018-03-23,美元
2018-03-22,631.67,征税征求意见,2018-03-23,美元
2018-03-21,633.96,征税征求意见,2018-03-23,美元
2018-03-20,632.46,征税征求意见,2018-03-23,美元
2018-03-19,633.2,征税征求意见,2018-03-23,美元
2018-04-13,628.98,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-12,628.34,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-11,629.11,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-10,630.71,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-09,631.14,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-04,629.26,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-03,628.33,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-02,627.64,"中宣称加税,美宣称加税",2018-04-04,美元
2018-03-30,628.81,"中宣称加税,美宣称加税",2018-04-04,美元
2018-03-29,630.46,"中宣称加税,美宣称加税",2018-04-04,美元
2018-06-05,641.57,加税,2018-05-29,美元
2018-06-04,642.08,加税,2018-05-29,美元
2018-06-01,640.78,加税,2018-05-29,美元
2018-05-31,641.44,加税,2018-05-29,美元
2018-05-30,642.07,加税,2018-05-29,美元
2018-05-29,640.21,加税,2018-05-29,美元
2018-05-28,639.62,加税,2018-05-29,美元
2018-05-25,638.67,加税,2018-05-29,美元
2018-05-24,638.16,加税,2018-05-29,美元
2018-05-23,637.73,加税,2018-05-29,美元
2018-07-03,664.97,中下调亚洲国家进口关税,2018-06-26,美元
2018-07-02,661.57,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-29,661.66,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-28,659.6,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-27,655.69,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-26,651.8,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-25,648.93,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-22,648.04,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-21,647.06,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-20,645.86,中下调亚洲国家进口关税,2018-06-26,美元
2018-07-13,667.27,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-12,667.26,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-11,662.34,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-10,662.59,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-09,663.93,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-06,663.36,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-05,661.8,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-04,665.95,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-03,664.97,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-02,661.57,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-17,668.21,美拟对中国加征关税,2018-07-10,美元
2018-07-16,667.58,美拟对中国加征关税,2018-07-10,美元
2018-07-13,667.27,美拟对中国加征关税,2018-07-10,美元
2018-07-12,667.26,美拟对中国加征关税,2018-07-10,美元
2018-07-11,662.34,美拟对中国加征关税,2018-07-10,美元
2018-07-10,662.59,美拟对中国加征关税,2018-07-10,美元
2018-07-09,663.93,美拟对中国加征关税,2018-07-10,美元
2018-07-06,663.36,美拟对中国加征关税,2018-07-10,美元
2018-07-05,661.8,美拟对中国加征关税,2018-07-10,美元
2018-07-04,665.95,美拟对中国加征关税,2018-07-10,美元
2018-08-15,688.56,中宣布对美加税生效,2018-08-08,美元
2018-08-14,686.95,中宣布对美加税生效,2018-08-08,美元
2018-08-13,686.29,中宣布对美加税生效,2018-08-08,美元
2018-08-10,683.95,中宣布对美加税生效,2018-08-08,美元
2018-08-09,683.17,中宣布对美加税生效,2018-08-08,美元
2018-08-08,683.13,中宣布对美加税生效,2018-08-08,美元
2018-08-07,684.31,中宣布对美加税生效,2018-08-08,美元
2018-08-06,685.13,中宣布对美加税生效,2018-08-08,美元
2018-08-03,683.22,中宣布对美加税生效,2018-08-08,美元
2018-08-02,679.42,中宣布对美加税生效,2018-08-08,美元
2018-09-26,685.71,"加征关税,加征关税",2018-09-18,美元
2018-09-25,684.4,"加征关税,加征关税",2018-09-18,美元
2018-09-21,683.57,"加征关税,加征关税",2018-09-18,美元
2018-09-20,685.3,"加征关税,加征关税",2018-09-18,美元
2018-09-19,685.69,"加征关税,加征关税",2018-09-18,美元
2018-09-18,685.54,"加征关税,加征关税",2018-09-18,美元
2018-09-17,685.09,"加征关税,加征关税",2018-09-18,美元
2018-09-14,683.62,"加征关税,加征关税",2018-09-18,美元
2018-09-13,684.88,"加征关税,加征关税",2018-09-18,美元
2018-09-12,685.46,"加征关税,加征关税",2018-09-18,美元
2018-12-21,688.25,美推迟加税时间,2018-12-14,美元
2018-12-20,689.36,美推迟加税时间,2018-12-14,美元
2018-12-19,688.69,美推迟加税时间,2018-12-14,美元
2018-12-18,688.54,美推迟加税时间,2018-12-14,美元
2018-12-17,689.08,美推迟加税时间,2018-12-14,美元
2018-12-14,687.5,美推迟加税时间,2018-12-14,美元
2018-12-13,687.69,美推迟加税时间,2018-12-14,美元
2018-12-12,690.64,美推迟加税时间,2018-12-14,美元
2018-12-11,689.96,美推迟加税时间,2018-12-14,美元
2018-12-10,686.93,美推迟加税时间,2018-12-14,美元
2019-01-02,684.82,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-28,686.32,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-27,688.94,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-26,688.45,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-25,689.19,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-24,690.06,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-21,688.25,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-20,689.36,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-19,688.69,中暂降关税，不再征收出口关税,2018-12-24,美元
2018-12-18,688.54,中暂降关税，不再征收出口关税,2018-12-24,美元
2019-03-12,671.28,推迟关税提高期限,2019-03-05,美元
2019-03-11,672.02,推迟关税提高期限,2019-03-05,美元
2019-03-08,672.35,推迟关税提高期限,2019-03-05,美元
2019-03-07,671.1,推迟关税提高期限,2019-03-05,美元
2019-03-06,670.53,推迟关税提高期限,2019-03-05,美元
2019-03-05,669.98,推迟关税提高期限,2019-03-05,美元
2019-03-04,670.49,推迟关税提高期限,2019-03-05,美元
2019-03-01,669.57,推迟关税提高期限,2019-03-05,美元
2019-02-28,669.01,推迟关税提高期限,2019-03-05,美元
2019-02-27,668.57,推迟关税提高期限,2019-03-05,美元
2019-04-15,671.12,国务院下调进境物品进口税,2019-04-08,美元
2019-04-12,672.2,国务院下调进境物品进口税,2019-04-08,美元
2019-04-11,670.88,国务院下调进境物品进口税,2019-04-08,美元
2019-04-10,671.1,国务院下调进境物品进口税,2019-04-08,美元
2019-04-09,671.42,国务院下调进境物品进口税,2019-04-08,美元
2019-04-08,672.01,国务院下调进境物品进口税,2019-04-08,美元
2019-04-04,670.55,国务院下调进境物品进口税,2019-04-08,美元
2019-04-03,671.94,国务院下调进境物品进口税,2019-04-08,美元
2019-04-02,671.61,国务院下调进境物品进口税,2019-04-08,美元
2019-04-01,671.93,国务院下调进境物品进口税,2019-04-08,美元
2019-05-16,686.88,加征关税,2019-05-09,美元
2019-05-15,686.49,加征关税,2019-05-09,美元
2019-05-14,683.65,加征关税,2019-05-09,美元
2019-05-13,679.54,加征关税,2019-05-09,美元
2019-05-10,679.12,加征关税,2019-05-09,美元
2019-05-09,676.65,加征关税,2019-05-09,美元
2019-05-08,675.96,加征关税,2019-05-09,美元
2019-05-07,676.14,加征关税,2019-05-09,美元
2019-05-06,673.44,加征关税,2019-05-09,美元
2019-04-30,672.86,加征关税,2019-05-09,美元
2019-05-17,688.59,美宣布加征关税,2019-05-10,美元
2019-05-16,686.88,美宣布加征关税,2019-05-10,美元
2019-05-15,686.49,美宣布加征关税,2019-05-10,美元
2019-05-14,683.65,美宣布加征关税,2019-05-10,美元
2019-05-13,679.54,美宣布加征关税,2019-05-10,美元
2019-05-10,679.12,美宣布加征关税,2019-05-10,美元
2019-05-09,676.65,美宣布加征关税,2019-05-10,美元
2019-05-08,675.96,美宣布加征关税,2019-05-10,美元
2019-05-07,676.14,美宣布加征关税,2019-05-10,美元
2019-05-06,673.44,美宣布加征关税,2019-05-10,美元
2019-05-20,689.88,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-17,688.59,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-16,686.88,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-15,686.49,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-14,683.65,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-13,679.54,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-10,679.12,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-09,676.65,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-08,675.96,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-05-07,676.14,"中排除美商品的加征关税,中提高关税",2019-05-13,美元
2019-06-10,689.25,推迟实施加征关税,2019-05-31,美元
2019-06-06,689.45,推迟实施加征关税,2019-05-31,美元
2019-06-05,689.03,推迟实施加征关税,2019-05-31,美元
2019-06-04,688.22,推迟实施加征关税,2019-05-31,美元
2019-06-03,688.96,推迟实施加征关税,2019-05-31,美元
2019-05-31,689.92,推迟实施加征关税,2019-05-31,美元
2019-05-30,689.9,推迟实施加征关税,2019-05-31,美元
2019-05-29,689.88,推迟实施加征关税,2019-05-31,美元
2019-05-28,689.73,推迟实施加征关税,2019-05-31,美元
2019-05-27,689.24,推迟实施加征关税,2019-05-31,美元
2019-07-16,687.1,美对中关税排除110种,2019-07-09,美元
2019-07-15,686.77,美对中关税排除110种,2019-07-09,美元
2019-07-12,686.62,美对中关税排除110种,2019-07-09,美元
2019-07-11,686.77,美对中关税排除110种,2019-07-09,美元
2019-07-10,688.56,美对中关税排除110种,2019-07-09,美元
2019-07-09,688.53,美对中关税排除110种,2019-07-09,美元
2019-07-08,688.81,美对中关税排除110种,2019-07-09,美元
2019-07-05,686.97,美对中关税排除110种,2019-07-09,美元
2019-07-04,687.05,美对中关税排除110种,2019-07-09,美元
2019-07-03,686.4,美对中关税排除110种,2019-07-09,美元
2019-08-02,689.96,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-08-01,689.38,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-07-31,688.41,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-07-30,688.62,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-07-29,688.21,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-07-26,687.96,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-07-25,687.37,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-07-24,688.6,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-07-23,688.18,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-07-22,687.59,中允许俄罗斯全境大豆进口,2019-07-26,美元
2019-08-05,692.25,美国大豆装船运往中国,2019-07-29,美元
2019-08-02,689.96,美国大豆装船运往中国,2019-07-29,美元
2019-08-01,689.38,美国大豆装船运往中国,2019-07-29,美元
2019-07-31,688.41,美国大豆装船运往中国,2019-07-29,美元
2019-07-30,688.62,美国大豆装船运往中国,2019-07-29,美元
2019-07-29,688.21,美国大豆装船运往中国,2019-07-29,美元
2019-07-26,687.96,美国大豆装船运往中国,2019-07-29,美元
2019-07-25,687.37,美国大豆装船运往中国,2019-07-29,美元
2019-07-24,688.6,美国大豆装船运往中国,2019-07-29,美元
2019-07-23,688.18,美国大豆装船运往中国,2019-07-29,美元
2019-08-08,700.39,美总统称加关税,2019-08-01,美元
2019-08-07,699.96,美总统称加关税,2019-08-01,美元
2019-08-06,696.83,美总统称加关税,2019-08-01,美元
2019-08-05,692.25,美总统称加关税,2019-08-01,美元
2019-08-02,689.96,美总统称加关税,2019-08-01,美元
2019-08-01,689.38,美总统称加关税,2019-08-01,美元
2019-07-31,688.41,美总统称加关税,2019-08-01,美元
2019-07-30,688.62,美总统称加关税,2019-08-01,美元
2019-07-29,688.21,美总统称加关税,2019-08-01,美元
2019-07-26,687.96,美总统称加关税,2019-08-01,美元
2019-08-09,701.36,中方威胁反制,2019-08-02,美元
2019-08-08,700.39,中方威胁反制,2019-08-02,美元
2019-08-07,699.96,中方威胁反制,2019-08-02,美元
2019-08-06,696.83,中方威胁反制,2019-08-02,美元
2019-08-05,692.25,中方威胁反制,2019-08-02,美元
2019-08-02,689.96,中方威胁反制,2019-08-02,美元
2019-08-01,689.38,中方威胁反制,2019-08-02,美元
2019-07-31,688.41,中方威胁反制,2019-08-02,美元
2019-07-30,688.62,中方威胁反制,2019-08-02,美元
2019-07-29,688.21,中方威胁反制,2019-08-02,美元
2019-08-13,703.26,暂停采购美农产品,2019-08-06,美元
2019-08-12,702.11,暂停采购美农产品,2019-08-06,美元
2019-08-09,701.36,暂停采购美农产品,2019-08-06,美元
2019-08-08,700.39,暂停采购美农产品,2019-08-06,美元
2019-08-07,699.96,暂停采购美农产品,2019-08-06,美元
2019-08-06,696.83,暂停采购美农产品,2019-08-06,美元
2019-08-05,692.25,暂停采购美农产品,2019-08-06,美元
2019-08-02,689.96,暂停采购美农产品,2019-08-06,美元
2019-08-01,689.38,暂停采购美农产品,2019-08-06,美元
2019-07-31,688.41,暂停采购美农产品,2019-08-06,美元
2019-08-20,704.54,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-19,703.65,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-16,703.12,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-15,702.68,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-14,703.12,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-13,703.26,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-12,702.11,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-09,701.36,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-08,700.39,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-07,699.96,美宣布9.1生效的部分加征关税失效,2019-08-13,美元
2019-08-22,704.9,美宣称加征关税,2019-08-15,美元
2019-08-21,704.33,美宣称加征关税,2019-08-15,美元
2019-08-20,704.54,美宣称加征关税,2019-08-15,美元
2019-08-19,703.65,美宣称加征关税,2019-08-15,美元
2019-08-16,703.12,美宣称加征关税,2019-08-15,美元
2019-08-15,702.68,美宣称加征关税,2019-08-15,美元
2019-08-14,703.12,美宣称加征关税,2019-08-15,美元
2019-08-13,703.26,美宣称加征关税,2019-08-15,美元
2019-08-12,702.11,美宣称加征关税,2019-08-15,美元
2019-08-09,701.36,美宣称加征关税,2019-08-15,美元
2019-08-30,708.79,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-29,708.58,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-28,708.35,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-27,708.1,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-26,705.7,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-23,705.72,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-22,704.9,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-21,704.33,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-20,704.54,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-08-19,703.65,"美快递搜查芬太尼,中宣称加征关税",2019-08-23,美元
2019-09-06,708.55,ustr发布通知加税明日生效,2019-08-30,美元
2019-09-05,708.52,ustr发布通知加税明日生效,2019-08-30,美元
2019-09-04,708.78,ustr发布通知加税明日生效,2019-08-30,美元
2019-09-03,708.84,ustr发布通知加税明日生效,2019-08-30,美元
2019-09-02,708.83,ustr发布通知加税明日生效,2019-08-30,美元
2019-08-30,708.79,ustr发布通知加税明日生效,2019-08-30,美元
2019-08-29,708.58,ustr发布通知加税明日生效,2019-08-30,美元
2019-08-28,708.35,ustr发布通知加税明日生效,2019-08-30,美元
2019-08-27,708.1,ustr发布通知加税明日生效,2019-08-30,美元
2019-08-26,705.7,ustr发布通知加税明日生效,2019-08-30,美元
2019-09-09,708.51,加税征集意见,2019-09-02,美元
2019-09-06,708.55,加税征集意见,2019-09-02,美元
2019-09-05,708.52,加税征集意见,2019-09-02,美元
2019-09-04,708.78,加税征集意见,2019-09-02,美元
2019-09-03,708.84,加税征集意见,2019-09-02,美元
2019-09-02,708.83,加税征集意见,2019-09-02,美元
2019-08-30,708.79,加税征集意见,2019-09-02,美元
2019-08-29,708.58,加税征集意见,2019-09-02,美元
2019-08-28,708.35,加税征集意见,2019-09-02,美元
2019-08-27,708.1,加税征集意见,2019-09-02,美元
2019-09-19,707.32,中推迟加征关税生效,2019-09-11,美元
2019-09-18,707.28,中推迟加征关税生效,2019-09-11,美元
2019-09-17,707.3,中推迟加征关税生效,2019-09-11,美元
2019-09-16,706.57,中推迟加征关税生效,2019-09-11,美元
2019-09-12,708.46,中推迟加征关税生效,2019-09-11,美元
2019-09-11,708.43,中推迟加征关税生效,2019-09-11,美元
2019-09-10,708.46,中推迟加征关税生效,2019-09-11,美元
2019-09-09,708.51,中推迟加征关税生效,2019-09-11,美元
2019-09-06,708.55,中推迟加征关税生效,2019-09-11,美元
2019-09-05,708.52,中推迟加征关税生效,2019-09-11,美元
2019-09-20,707.3,采购询价,2019-09-12,美元
2019-09-19,707.32,采购询价,2019-09-12,美元
2019-09-18,707.28,采购询价,2019-09-12,美元
2019-09-17,707.3,采购询价,2019-09-12,美元
2019-09-16,706.57,采购询价,2019-09-12,美元
2019-09-12,708.46,采购询价,2019-09-12,美元
2019-09-11,708.43,采购询价,2019-09-12,美元
2019-09-10,708.46,采购询价,2019-09-12,美元
2019-09-09,708.51,采购询价,2019-09-12,美元
2019-09-06,708.55,采购询价,2019-09-12,美元
2019-09-24,707.29,加税排除清单,2019-09-17,美元
2019-09-23,707.34,加税排除清单,2019-09-17,美元
2019-09-20,707.3,加税排除清单,2019-09-17,美元
2019-09-19,707.32,加税排除清单,2019-09-17,美元
2019-09-18,707.28,加税排除清单,2019-09-17,美元
2019-09-17,707.3,加税排除清单,2019-09-17,美元
2019-09-16,706.57,加税排除清单,2019-09-17,美元
2019-09-12,708.46,加税排除清单,2019-09-17,美元
2019-09-11,708.43,加税排除清单,2019-09-17,美元
2019-09-10,708.46,加税排除清单,2019-09-17,美元
2018-03-15,781.31,钢铁、铝加税,2018-03-08,欧元
2018-03-14,783.25,钢铁、铝加税,2018-03-08,欧元
2018-03-13,780.02,钢铁、铝加税,2018-03-08,欧元
2018-03-12,779.56,钢铁、铝加税,2018-03-08,欧元
2018-03-09,780.89,钢铁、铝加税,2018-03-08,欧元
2018-03-08,784.92,钢铁、铝加税,2018-03-08,欧元
2018-03-07,785.93,钢铁、铝加税,2018-03-08,欧元
2018-03-06,782.11,钢铁、铝加税,2018-03-08,欧元
2018-03-05,781.03,钢铁、铝加税,2018-03-08,欧元
2018-03-02,777.02,钢铁、铝加税,2018-03-08,欧元
2018-03-15,781.31,钢铁、铝加税,2018-03-08,欧元
2018-03-14,783.25,钢铁、铝加税,2018-03-08,欧元
2018-03-13,780.02,钢铁、铝加税,2018-03-08,欧元
2018-03-12,779.56,钢铁、铝加税,2018-03-08,欧元
2018-03-09,780.89,钢铁、铝加税,2018-03-08,欧元
2018-03-08,784.92,钢铁、铝加税,2018-03-08,欧元
2018-03-07,785.93,钢铁、铝加税,2018-03-08,欧元
2018-03-06,782.11,钢铁、铝加税,2018-03-08,欧元
2018-03-05,781.03,钢铁、铝加税,2018-03-08,欧元
2018-03-02,777.02,钢铁、铝加税,2018-03-08,欧元
2018-03-30,773.78,征税征求意见,2018-03-23,欧元
2018-03-29,775.98,征税征求意见,2018-03-23,欧元
2018-03-28,779.1,征税征求意见,2018-03-23,欧元
2018-03-27,782.18,征税征求意见,2018-03-23,欧元
2018-03-26,781.36,征税征求意见,2018-03-23,欧元
2018-03-23,779.75,征税征求意见,2018-03-23,欧元
2018-03-22,780.2,征税征求意见,2018-03-23,欧元
2018-03-21,776.53,征税征求意见,2018-03-23,欧元
2018-03-20,780.38,征税征求意见,2018-03-23,欧元
2018-03-19,777.64,征税征求意见,2018-03-23,欧元
2018-04-13,774.98,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-04-12,777.16,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-04-11,777.66,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-04-10,777.31,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-04-09,774.12,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-04-04,772.06,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-04-03,772.74,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-04-02,772.99,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-03-30,773.78,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-03-29,775.98,"中宣称加税,美宣称加税",2018-04-04,欧元
2018-06-05,750.58,加税,2018-05-29,欧元
2018-06-04,748.9,加税,2018-05-29,欧元
2018-06-01,749.61,加税,2018-05-29,欧元
2018-05-31,748.14,加税,2018-05-29,欧元
2018-05-30,740.74,加税,2018-05-29,欧元
2018-05-29,744.25,加税,2018-05-29,欧元
2018-05-28,747.53,加税,2018-05-29,欧元
2018-05-25,748.3,加税,2018-05-29,欧元
2018-05-24,747.17,加税,2018-05-29,欧元
2018-05-23,751.3,加税,2018-05-29,欧元
2018-07-03,774.12,中下调亚洲国家进口关税,2018-06-26,欧元
2018-07-02,772.43,中下调亚洲国家进口关税,2018-06-26,欧元
2018-06-29,765.15,中下调亚洲国家进口关税,2018-06-26,欧元
2018-06-28,763.89,中下调亚洲国家进口关税,2018-06-26,欧元
2018-06-27,764.41,中下调亚洲国家进口关税,2018-06-26,欧元
2018-06-26,763.23,中下调亚洲国家进口关税,2018-06-26,欧元
2018-06-25,756.66,中下调亚洲国家进口关税,2018-06-26,欧元
2018-06-22,752.06,中下调亚洲国家进口关税,2018-06-26,欧元
2018-06-21,748.97,中下调亚洲国家进口关税,2018-06-26,欧元
2018-06-20,749.85,中下调亚洲国家进口关税,2018-06-26,欧元
2018-07-13,778.33,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-12,779.73,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-11,776.87,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-10,779.05,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-09,779.86,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-06,775.58,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-05,771.72,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-04,776.65,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-03,774.12,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-02,772.43,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,欧元
2018-07-17,782.39,美拟对中国加征关税,2018-07-10,欧元
2018-07-16,780.16,美拟对中国加征关税,2018-07-10,欧元
2018-07-13,778.33,美拟对中国加征关税,2018-07-10,欧元
2018-07-12,779.73,美拟对中国加征关税,2018-07-10,欧元
2018-07-11,776.87,美拟对中国加征关税,2018-07-10,欧元
2018-07-10,779.05,美拟对中国加征关税,2018-07-10,欧元
2018-07-09,779.86,美拟对中国加征关税,2018-07-10,欧元
2018-07-06,775.58,美拟对中国加征关税,2018-07-10,欧元
2018-07-05,771.72,美拟对中国加征关税,2018-07-10,欧元
2018-07-04,776.65,美拟对中国加征关税,2018-07-10,欧元
2018-08-15,781.36,中宣布对美加税生效,2018-08-08,欧元
2018-08-14,783.95,中宣布对美加税生效,2018-08-08,欧元
2018-08-13,782.86,中宣布对美加税生效,2018-08-08,欧元
2018-08-10,788.26,中宣布对美加税生效,2018-08-08,欧元
2018-08-09,793.23,中宣布对美加税生效,2018-08-08,欧元
2018-08-08,792.77,中宣布对美加税生效,2018-08-08,欧元
2018-08-07,791.26,中宣布对美加税生效,2018-08-08,欧元
2018-08-06,792.57,中宣布对美加税生效,2018-08-08,欧元
2018-08-03,792.1,中宣布对美加税生效,2018-08-08,欧元
2018-08-02,792.5,中宣布对美加税生效,2018-08-08,欧元
2018-09-26,806.58,"加征关税,加征关税",2018-09-18,欧元
2018-09-25,804.34,"加征关税,加征关税",2018-09-18,欧元
2018-09-21,805.35,"加征关税,加征关税",2018-09-18,欧元
2018-09-20,800.08,"加征关税,加征关税",2018-09-18,欧元
2018-09-19,800.57,"加征关税,加征关税",2018-09-18,欧元
2018-09-18,799.92,"加征关税,加征关税",2018-09-18,欧元
2018-09-17,796.82,"加征关税,加征关税",2018-09-18,欧元
2018-09-14,799.49,"加征关税,加征关税",2018-09-18,欧元
2018-09-13,796.69,"加征关税,加征关税",2018-09-18,欧元
2018-09-12,794.82,"加征关税,加征关税",2018-09-18,欧元
2018-12-21,788.48,美推迟加税时间,2018-12-14,欧元
2018-12-20,784.78,美推迟加税时间,2018-12-14,欧元
2018-12-19,783.47,美推迟加税时间,2018-12-14,欧元
2018-12-18,781.53,美推迟加税时间,2018-12-14,欧元
2018-12-17,779.4,美推迟加税时间,2018-12-14,欧元
