,PERMNO,DATE,SHRCD,HEXCD,RET,date
73,10001.0,1990-06-29,11.0,2.0,0.014102564193308353,1990-06-29
74,10001.0,1990-07-31,11.0,2.0,0.025641025975346565,1990-07-31
75,10001.0,1990-08-31,11.0,2.0,-0.05000000074505806,1990-08-31
76,10001.0,1990-09-28,11.0,2.0,0.04078947380185127,1990-09-28
77,10001.0,1990-10-31,11.0,2.0,-0.012820512987673283,1990-10-31
78,10001.0,1990-11-30,11.0,2.0,0.0,1990-11-30
79,10001.0,1990-12-31,11.0,2.0,0.00129870162345469,1990-12-31
80,10001.0,1991-01-31,11.0,2.0,0.01315789483487606,1991-01-31
81,10001.0,1991-02-28,11.0,2.0,0.012987012974917889,1991-02-28
82,10001.0,1991-03-28,11.0,2.0,-0.011538460850715637,1991-03-28
83,10001.0,1991-04-30,11.0,2.0,0.03947368264198303,1991-04-30
84,10001.0,1991-05-31,11.0,2.0,0.0,1991-05-31
85,10001.0,1991-06-28,11.0,2.0,0.07848101109266281,1991-06-28
86,10001.0,1991-07-31,11.0,2.0,-0.0357142873108387,1991-07-31
87,10001.0,1991-08-30,11.0,2.0,0.1358024626970291,1991-08-30
88,10001.0,1991-09-30,11.0,2.0,0.013043479062616825,1991-09-30
89,10001.0,1991-10-31,11.0,2.0,0.1304347813129425,1991-10-31
90,10001.0,1991-11-29,11.0,2.0,0.13461539149284363,1991-11-29
91,10001.0,1991-12-31,11.0,2.0,-0.0067796604707837105,1991-12-31
92,10001.0,1992-01-31,11.0,2.0,-0.0517241396009922,1992-01-31
93,10001.0,1992-02-28,11.0,2.0,-0.20000000298023224,1992-02-28
94,10001.0,1992-03-31,11.0,2.0,0.08181818574666977,1992-03-31
95,10001.0,1992-04-30,11.0,2.0,0.010638297535479069,1992-04-30
96,10001.0,1992-05-29,11.0,2.0,0.010526316240429878,1992-05-29
97,10001.0,1992-06-30,11.0,2.0,-0.007708333432674408,1992-06-30
98,10001.0,1992-07-31,11.0,2.0,0.06382978707551956,1992-07-31
99,10001.0,1992-08-31,11.0,2.0,0.03999999910593033,1992-08-31
100,10001.0,1992-09-30,11.0,2.0,0.16596153378486633,1992-09-30
101,10001.0,1992-10-30,11.0,2.0,-0.02500000037252903,1992-10-30
102,10001.0,1992-11-30,11.0,2.0,-0.017094017937779427,1992-11-30
103,10001.0,1992-12-31,11.0,2.0,-0.01513043511658907,1992-12-31
104,10001.0,1993-01-29,11.0,2.0,0.0,1993-01-29
105,10001.0,1993-02-26,11.0,2.0,0.01785714365541935,1993-02-26
